gene_id,SRR015084,SRR015086,SRR015088,SRR015090,SRR015092,SRR015104,SRR015106,SRR015108,SRR015110,SRR015112
FBgn0035480,5,2,0,2,0,25,25,19,17,25
FBgn0264516,1,1,0,1,0,0,0,0,0,0
FBgn0035481,0,0,0,1,2,0,0,0,0,0
FBgn0035477,127,68,100,125,54,39,45,32,22,33
FBgn0004880,1,0,0,2,0,0,0,0,0,0
FBgn0035482,43,19,44,46,23,131,93,95,47,94
FBgn0045479,0,0,0,0,0,0,0,0,0,0
FBgn0035483,43,25,28,48,18,146,109,117,62,106
FBgn0035484,2,0,5,9,5,0,4,2,0,5
FBgn0045478,0,0,0,0,0,0,0,0,0,0
FBgn0045477,0,0,0,0,0,0,0,0,0,0
FBgn0035486,0,0,0,0,0,0,0,0,0,0
FBgn0045476,0,0,0,4,0,0,0,0,0,0
FBgn0266402,0,0,0,0,0,0,0,0,0,0
FBgn0000449,0,0,0,0,0,0,0,0,0,0
FBgn0024179,7,7,10,9,11,0,0,5,2,2
FBgn0052259,0,0,0,0,0,0,0,0,0,0
FBgn0052255,0,0,0,0,0,0,0,0,0,0
FBgn0035488,74,35,52,73,34,222,180,205,122,167
FBgn0263832,363,224,308,411,216,484,394,390,212,318
FBgn0004875,511,357,490,667,345,602,504,739,390,636
FBgn0013751,0,0,0,0,0,0,0,0,0,0
FBgn0266928,0,0,0,0,0,0,0,1,0,0
FBgn0264518,0,0,0,0,0,0,0,0,0,0
FBgn0266971,0,0,0,0,0,0,0,0,0,1
FBgn0026592,25,9,31,27,14,8,6,7,7,20
FBgn0035468,0,0,2,0,0,0,0,0,0,0
FBgn0003943,2654,1631,2479,3108,1431,7564,6643,5907,2713,5151
FBgn0035473,286,225,312,372,190,484,397,436,224,338
FBgn0004910,0,0,0,0,0,0,0,0,0,0
FBgn0004911,0,0,0,0,0,0,1,0,0,0
FBgn0064227,1,0,0,0,0,0,1,0,1,1
FBgn0083987,4,4,5,1,3,4,4,3,1,2
FBgn0035469,60,42,59,57,37,146,102,99,40,76
FBgn0035470,46,29,37,48,30,74,46,53,25,41
FBgn0035471,247,152,219,253,130,517,393,394,195,326
FBgn0041147,61,32,46,65,29,86,67,56,30,40
FBgn0004516,0,0,0,0,0,0,0,0,0,0
FBgn0035495,0,0,0,0,0,0,0,0,0,0
FBgn0035497,186,143,203,227,103,60,37,95,42,81
FBgn0267230,0,0,0,0,0,1,0,2,1,4
FBgn0264693,830,559,751,1009,468,706,580,1035,588,886
FBgn0004552,0,0,0,0,0,0,0,0,0,0
FBgn0052260,0,2,0,2,0,0,0,0,0,0
FBgn0035501,0,0,0,0,0,6,8,7,2,7
